Mot|Phrase|Catégorie|Traduction en français
phenomenon|The natural phenomenon amazed them.|Nom masculin|phénomène
physician|Their physician recommended regular check-ups.|Nom masculin|médecin
pine|They enjoy the scent of pine trees in the forest.|Nom féminin|pin
plot|The plot of the story was filled with suspense.|Nom masculin|intrigue
PM|They scheduled the meeting for 3 PM.|Nom masculin|PM
pole|They erected a flagpole in their yard.|Nom masculin|mât
politically|The discussion was politically charged.|Adverbe|politiquement
porch|They like to relax on their front porch.|Nom masculin|porche
portray|The artist chose to portray nature in their painting.|Verbe|dépeindre
presidential|The presidential election is approaching.|Adjectif|présidentiel
principal|The school's principal is dedicated to education.|Nom masculin|directeur
privacy|They value their privacy.|Nom féminin|vie privée
producer|The producer worked on the film's soundtrack.|Nom masculin|producteur
proposed|They proposed a new idea for the project.|Verbe|proposer
prosecutor|The prosecutor presented evidence in court.|Nom masculin|procureur
psychologist|The psychologist specializes in treating anxiety.|Nom masculin|psychologue
publisher|The publisher released a new novel.|Nom masculin|éditeur
quarterback|The quarterback led the team to victory.|Nom masculin|quart-arrière
quit|They decided to quit their job and pursue their passion.|Verbe|quitter
rapid|The river had a rapid current.|Adjectif|rapide
rating|The movie received a high rating from critics.|Nom masculin|évaluation
ratio|The ratio of men to women in the class was equal.|Nom masculin|taux
raw|The sushi is made from raw fish.|Adjectif|cru
recognition|Their hard work earned them recognition.|Nom féminin|reconnaissance
refer|They referred to the textbook for more information.|Verbe|se référer
reference|The book contains a reference section.|Nom féminin|référence
regardless|They went forward regardless of the challenges.|Adverbe|peu importe
regime|They followed a strict fitness regime.|Nom masculin|régime
regulate|The government regulates the pharmaceutical industry.|Verbe|réglementer
repeatedly|They asked the same question repeatedly.|Adverbe|à plusieurs reprises
representation|The painting is a representation of nature.|Nom féminin|représentation
representative|They met their representative in Congress.|Nom masculin|représentant
Republican|The Republican party has a conservative stance.|Nom masculin|républicain
resolution|They made a New Year's resolution to exercise more.|Nom féminin|résolution
respondent|They surveyed the respondents to gather data.|Nom masculin|répondant
rid|They got rid of the old furniture.|Verbe|se débarrasser de
rifle|The hunter carried a rifle into the woods.|Nom masculin|fusil
rose|They received a bouquet of red roses.|Nom masculin|rose
Russian|They learned to speak Russian fluently.|Adjectif|russesake|They did it for their own sake.|Nom masculin|sake
sales|They work in the sales department.|Nom masculin|ventes
sanction|The government imposed economic sanctions.|Nom féminin|sanction
sand|They built sandcastles on the beach.|Nom masculin|sable
satellite|The satellite orbits the Earth.|Nom masculin|satellite
satisfaction|They expressed their satisfaction with the results.|Nom féminin|satisfaction
sauce|They added a delicious sauce to the pasta.|Nom féminin|sauce
scandal|The political scandal made headlines.|Nom masculin|scandale
scholar|The scholar conducted extensive research.|Nom masculin|érudit
scholarship|They received a scholarship for their academic achievements.|Nom féminin|bourse
sea|They love to watch the sunset by the sea.|Nom féminin|mer
Senate|The Senate passed a new bill.|Nom masculin|Sénat
seven|They counted to seven before starting.|Adjectif|sept
several|They have several projects to complete.|Adjectif|plusieurs
shit|They stepped in dog shit.|Nom masculin|merde
shooting|The shooting of the film took place in a remote location.|Nom masculin|tournage
shrug|They shrugged in response to the question.|Verbe|hausser les épaules
sigh|They let out a sigh of relief.|Verbe|soupirer
sin|They believe that lying is a sin.|Nom masculin|péché
six|They found six shells on the beach.|Adjectif|six
ski|They enjoy skiing in the winter.|Nom masculin|ski
slave|They studied the history of the slave trade.|Nom masculin|esclave
sleep|They need a good night's sleep.|Nom masculin|sommeil
slice|They cut a slice of cake for dessert.|Nom masculin|tranche
slide|The children had fun on the slide at the playground.|Nom masculin|toboggan
snap|They heard a snap in the woods.|Nom masculin|claquement
solar|They installed solar panels on their roof.|Adjectif|solaire
somehow|They managed to finish the project somehow.|Adverbe|d'une manière ou d'une autre
Soviet|The Soviet Union was a major world power.|Adjectif|soviétique
Spanish|They are learning to speak Spanish.|Adjectif|espagnol
species|They studied various species of birds.|Nom masculin|espèce
spending|Their spending habits have changed.|Nom masculin|dépenses
spin|The dancer executed a graceful spin.|Verbe|tournoyer
spokesman|The spokesman issued a statement on behalf of the company.|Nom masculin|porte-parole
stroke|They had a stroke of luck when they found the lost wallet.|Nom masculin|coup
submit|They will submit the report by the deadline.|Verbe|soumettre
subsequent|The subsequent events were unpredictable.|Adjectif|ultérieur
successfully|They completed the marathon successfully.|Adverbe|avec succès
sudden|The sudden rain caught them by surprise.|Adjectif|soudain
sue|They decided to sue the company for damages.|Verbe|poursuivre en justice
suicide|The suicide rate is a concerning issue.|Nom masculin|suicide
super|The superhero had extraordinary powers.|Adjectif|super
supposed|They were supposed to arrive by noon.|Adjectif|censé
Supreme|The Supreme Court delivered a historic verdict.|Adjectif|suprême
surely|Surely, you can make it to the finish line.|Adverbe|certainement
surgery|They will undergo surgery to repair the injury.|Nom féminin|chirurgie
survivor|The survivor of the shipwreck shared their story.|Nom masculin|survivant
sustain|They need to sustain their energy throughout the race.|Verbe|soutenir
taxpayer|They are a responsible taxpayer.|Nom masculin|contribuable
tea|They enjoy a cup of hot tea in the evening.|Nom masculin|thé
teaspoon|The recipe calls for one teaspoon of sugar.|Nom féminin|cuillerée à thé
telescope|They used a telescope to observe the stars.|Nom masculin|télescope
tennis|They play tennis at the local club.|Nom masculin|tennis
terror|The terror attack shocked the nation.|Nom masculin|terreur
terrorism|They discussed the impact of terrorism on society.|Nom masculin|terrorisme
terrorist|The terrorist attack was devastating.|Nom masculin|terroriste
testimony|The witness provided crucial testimony in court.|Nom masculin|témoignage
testing|They conducted testing to ensure product quality.|Nom masculin|tests
text|They received a heartfelt text from a friend.|Nom masculin|message
theme|The theme of the party was "vintage Hollywood."|Nom masculin|thème
tie|They wore a tie to the formal event.|Nom masculin|cravate
tight|The lid was too tight to open easily.|Adjectif|serré
tobacco|They chose to quit using tobacco products.|Nom masculin|tabac
toe|They stubbed their toe on the table.|Nom féminin|orteil
tomato|They used fresh tomatoes in the salad.|Nom masculin|tomate
toss|They decided to toss a coin to make a decision.|Verbe|jeter
tournament|The tennis tournament attracted top players.|Nom masculin|tournoi
trace|They found a trace of footprints in the sand.|Nom féminin|trace
tragedy|The tragic loss of lives affected the community deeply.|Nom féminin|tragédie
trail|They hiked the trail through the forest.|Nom masculin|sentier
transform|They transformed an old building into a vibrant cafe.|Verbe|transformer
transformation|The transformation of the city over the years is remarkable.|Nom féminin|transformation
transportation|They rely on public transportation for their daily commute.|Nom féminin|transport
tremendous|The team made a tremendous effort to win.|Adjectif|énorme
tunnel|They drove through a long tunnel in the mountain.|Nom masculin|tunnel
TV|They enjoy watching TV shows in their free time.|Nom masculin|télévision
undergo|They will undergo surgery next week.|Verbe|subir
United|The United Nations promotes global peace.|Adjectif|unis
universal|The concept of human rights is universal.|Adjectif|universel
unknown|The identity of the author remains unknown.|Adjectif|inconnu
variable|They studied the relationship between the variable factors.|Nom masculin|variable
venture|They started a new business venture together.|Nom masculin|entreprise
versus|It's a debate of good versus evil.|Préposition|contre
violate|They warned against actions that violate the law.|Verbe|enfreindre
violation|The violation of their privacy was unacceptable.|Nom féminin|infraction
voter|They exercised their right as a voter.|Nom masculin|électeur
vs|The soccer match is Argentina vs. Brazil.|Abréviation|contre
whereas|They prefer tea, whereas their friend likes coffee.|Conjonction|tandis que
widespread|The issue of pollution is widespread.|Adjectif|répandu
willing|They are willing to help when needed.|Adjectif|disposé
wisdom|They seek wisdom from their elders.|Nom masculin|sagesse
